epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.4668,1.84931,3.50356,2.09574,0.00359,0.76032,0.08875,0.02767,1.67527,4.06743,2.1826,0.00010003,0.00010003,0.00010003
2,64.2038,1.70651,3.31548,1.98968,0.00474,0.73492,0.15265,0.08358,1.506,3.96219,1.90878,0.000210106,0.000210106,0.000210106
3,94.2174,1.70503,3.12589,1.94625,0.00602,0.77302,0.26923,0.11382,1.63456,3.99329,2.05452,0.000315655,0.000315655,0.000315655
4,124.193,1.54052,2.78531,1.80686,0.00524,0.7,0.3545,0.17987,1.73072,3.86936,2.19782,0.000416676,0.000416676,0.000416676
5,153.471,1.58492,2.77499,1.84117,0.00455,0.65079,0.37153,0.19065,1.88558,3.75321,2.45835,0.000513171,0.000513171,0.000513171
6,182.914,1.62729,2.6839,1.91449,0.56635,0.29206,0.27377,0.11348,2.24946,3.78331,2.89611,0.000605139,0.000605139,0.000605139
7,212.558,1.5648,2.50649,1.75672,0.57201,0.27619,0.19479,0.05228,3.1143,4.28748,3.80322,0.000692579,0.000692579,0.000692579
8,241.868,1.46671,2.57427,1.72076,0.93179,0.22222,0.36387,0.15335,1.9813,3.45886,2.72718,0.000775493,0.000775493,0.000775493
9,271.914,1.39361,2.50019,1.66127,0.39391,0.40476,0.35335,0.12338,2.04366,3.4338,2.51661,0.000853879,0.000853879,0.000853879
10,301.883,1.45696,2.38274,1.64485,0.28952,0.38254,0.23699,0.08374,2.09969,3.65342,2.49213,0.000927738,0.000927738,0.000927738
11,331.525,1.48661,2.25758,1.69255,0.38577,0.35747,0.32715,0.12544,2.0727,4.78018,2.62746,0.00099707,0.00099707,0.00099707
12,360.834,1.55165,2.34637,1.75362,0.96115,0.2,0.37803,0.16125,1.87711,5.82976,2.4457,0.00106188,0.00106188,0.00106188
13,390.113,1.73884,2.43923,2.02053,0.44405,0.34444,0.23604,0.08211,1.96035,3.98883,2.5437,0.00108947,0.00108947,0.00108947
14,419.349,1.57795,2.47415,1.74334,0.47369,0.35397,0.3002,0.11686,1.85084,3.58536,2.4895,0.00106118,0.00106118,0.00106118
15,448.8,1.56765,2.37151,1.72097,0.59478,0.40476,0.51324,0.239,1.73716,3.62947,2.50651,0.00103288,0.00103288,0.00103288
16,477.938,1.50632,2.24176,1.6796,0.49012,0.49062,0.41316,0.17204,2.06961,3.16158,2.63273,0.00100459,0.00100459,0.00100459
17,507.714,1.36573,2.06844,1.62225,0.62045,0.43594,0.50059,0.23811,1.90586,3.56053,2.41574,0.000976293,0.000976293,0.000976293
18,537.12,1.43554,2.17258,1.6323,0.67432,0.48781,0.52684,0.24469,1.96777,3.20243,2.50709,0.000947999,0.000947999,0.000947999
